Participant,Trial,Self,OtherConfidence,Others,ChoiceRed,correct,RT
105,72,0.37492984096447346,0.99999,0.25,0,1,834
105,73,0.24992984096447346,0.99999,0.5,0,1,853
105,75,0.7499298409644735,0,1e-4,1,1,2168
105,76,0.37492984096447346,0,1e-4,0,1,681
105,79,0.24992984096447346,0,1e-4,0,1,463
105,80,0.8749298409644735,0,1e-4,1,1,437
105,84,0.6249298409644735,0.99999,0.5,1,1,1596
105,89,0.6249298409644735,0,1e-4,1,1,4362
105,90,0.6249298409644735,0.5,0.5,1,0,839
105,94,0.12492984096447346,0,1e-4,0,1,139
105,95,0.49992984096447346,0.5,0.25,0,0,1570
105,97,0.7499298409644735,0.5,0.25,1,0,725
105,98,0.8749298409644735,0.99999,0.5,1,0,559
105,100,0.12492984096447346,0,1e-4,0,1,480
105,103,0.6249298409644735,0.99999,0.25,0,1,3262
105,3,0.12492984096447346,0.99999,0.9999,0,0,1231
105,4,0.8749298409644735,0.99999,0.5,1,0,1622
105,5,0.37492984096447346,0.5,0.25,0,1,1509
105,9,0.6249298409644735,0.5,0.25,1,0,1150
105,12,0.6249298409644735,0.99999,0.9999,1,1,1302
105,13,0.24992984096447346,0.99999,0.75,0,0,943
105,17,0.6249298409644735,0.5,0.25,1,0,1061
105,19,0.7499298409644735,0.5,0.9999,1,1,818
105,24,0.7499298409644735,0.5,0.9999,1,1,1010
105,26,0.6249298409644735,0.5,0.75,1,0,1241
105,30,0.37492984096447346,0.5,0.75,0,1,755
105,32,0.8749298409644735,0.99999,0.9999,1,1,794
105,36,0.49992984096447346,0.5,0.9999,0,0,19573
105,40,0.12492984096447346,0.5,0.75,0,0,13726
105,42,0.12492984096447346,0.5,0.75,0,0,4796
105,43,0.6249298409644735,0.99999,0.5,1,1,5925
105,44,0.7499298409644735,0.99999,0.25,1,1,5963
105,46,0.24992984096447346,0.5,0.9999,0,0,2292
105,47,0.37492984096447346,0.99999,0.9999,0,0,3194
105,49,0.24992984096447346,0.5,0.9999,0,0,988
105,52,0.49992984096447346,0.5,0.9999,1,1,3432
105,53,0.8749298409644735,0.5,0.9999,1,1,1785
105,57,0.12492984096447346,0.99999,0.75,0,1,828
105,61,0.37492984096447346,0.99999,0.9999,0,0,7476
105,62,0.24992984096447346,0.5,0.25,0,0,1736
105,63,0.37492984096447346,0.99999,0.75,0,0,3504
105,67,0.49992984096447346,0.99999,0.25,0,1,4661
105,68,0.49992984096447346,0.5,0.75,1,1,2128
105,69,0.37492984096447346,0.5,0.9999,0,0,1841
105,74,0.49992984096447346,0.99999,0.5,1,0,3950
105,77,0.12492984096447346,0.99999,0.25,0,0,525
105,78,0.24992984096447346,0.99999,0.9999,0,0,1122
105,81,0.24992984096447346,0.99999,0.75,0,0,1185
105,82,0.12492984096447346,0.99999,0.5,0,0,689
105,83,0.49992984096447346,0.99999,0.9999,1,1,1001
105,85,0.7499298409644735,0.99999,0.9999,1,1,451
105,86,0.6249298409644735,0.99999,0.75,1,0,896
105,87,0.12492984096447346,0.99999,0.9999,0,1,775
105,88,0.8749298409644735,0.99999,0.9999,1,1,746
105,91,0.49992984096447346,0.99999,0.75,1,1,4851
105,92,0.6249298409644735,0.99999,0.9999,1,1,481
105,93,0.12492984096447346,0.5,0.9999,0,0,461
105,96,0.37492984096447346,0.5,0.5,0,1,1097
105,99,0.24992984096447346,0.5,0.75,0,1,691
105,101,0.6249298409644735,0.5,0.9999,1,1,811
105,102,0.37492984096447346,0.99999,0.5,0,0,554
105,104,0.8749298409644735,0.99999,0.75,1,1,592
105,105,0.7499298409644735,0.5,0.75,1,1,660
106,7,0.7499298409644735,0,1e-4,1,1,1534
106,9,0.37492984096447346,0.5,0.25,0,0,4940
106,10,0.12492984096447346,0.5,0.25,0,0,2328
106,11,0.8749298409644735,0,1e-4,1,0,1501
106,12,0.12492984096447346,0,1e-4,0,1,1947
106,14,0.7499298409644735,0.99999,0.75,1,1,1781
106,16,0.37492984096447346,0.5,0.25,0,1,5227
106,17,0.37492984096447346,0,1e-4,0,1,2604
106,18,0.12492984096447346,0.99999,0.5,0,0,2495
106,22,0.49992984096447346,0.99999,0.25,1,0,8446
106,24,0.6249298409644735,0.5,0.25,1,0,1947
106,27,0.8749298409644735,0.5,0.25,1,1,11188
106,28,0.49992984096447346,0,1e-4,0,1,38624
106,30,0.49992984096447346,0.5,0.5,1,0,32104
106,33,0.24992984096447346,0,1e-4,0,0,3383
106,36,0.8749298409644735,0.99999,0.5,1,1,3133
106,40,0.49992984096447346,0,1e-4,0,0,6539
106,42,0.8749298409644735,0.5,0.25,1,1,4052
106,43,0.7499298409644735,0,1e-4,1,0,7807
106,47,0.6249298409644735,0.5,0.25,0,0,12739
106,48,0.24992984096447346,0,1e-4,0,1,2990
106,50,0.37492984096447346,0.5,0.75,0,1,16864
106,51,0.6249298409644735,0,1e-4,0,1,10989
106,52,0.24992984096447346,0.99999,0.25,0,0,2488
106,54,0.7499298409644735,0,1e-4,1,1,6298
106,56,0.24992984096447346,0.5,0.75,0,1,4375
106,61,0.7499298409644735,0.99999,0.5,1,0,6443
106,62,0.6249298409644735,0.5,0.5,1,0,5609
106,63,0.8749298409644735,0,1e-4,1,1,5835
106,64,0.37492984096447346,0,1e-4,0,1,1970
106,65,0.6249298409644735,0.99999,0.25,1,1,13203
106,68,0.24992984096447346,0,1e-4,0,1,2525
106,69,0.8749298409644735,0,1e-4,1,0,3280
106,70,0.6249298409644735,0,1e-4,1,0,7908
106,71,0.8749298409644735,0.99999,0.75,1,1,1721
106,73,0.12492984096447346,0,1e-4,0,0,2368
106,74,0.12492984096447346,0,1e-4,0,1,5711
106,75,0.37492984096447346,0.99999,0.5,0,1,6456
106,79,0.8749298409644735,0.5,0.5,1,1,1127
106,81,0.37492984096447346,0.5,0.5,0,0,3951
106,83,0.8749298409644735,0.99999,0.25,1,1,1066
106,84,0.7499298409644735,0.99999,0.25,1,1,3822
106,88,0.37492984096447346,0,1e-4,0,0,4841
106,89,0.6249298409644735,0,1e-4,1,0,12622
106,90,0.7499298409644735,0.5,0.25,1,1,3629
106,91,0.37492984096447346,0.99999,0.25,0,0,2219
106,92,0.6249298409644735,0.99999,0.5,1,1,4127
106,93,0.49992984096447346,0.5,0.25,0,0,6611
106,95,0.12492984096447346,0.99999,0.25,0,1,1263
106,96,0.49992984096447346,0.99999,0.25,0,0,4068
106,97,0.24992984096447346,0.99999,0.25,0,1,1572
106,99,0.49992984096447346,0,1e-4,1,1,6474
106,101,0.24992984096447346,0.5,0.25,0,0,3229
106,1,0.7499298409644735,0.5,0.5,1,1,12032
106,2,0.12492984096447346,0.99999,0.9999,0,0,1347
106,3,0.49992984096447346,0.5,0.9999,0,0,6121
106,4,0.24992984096447346,0.5,0.5,0,0,2849
106,5,0.12492984096447346,0.5,0.75,0,1,2754
106,6,0.7499298409644735,0.5,0.9999,1,1,2852
106,8,0.24992984096447346,0.99999,0.75,0,1,4932
106,13,0.37492984096447346,0.5,0.75,0,0,4533
106,15,0.7499298409644735,0.5,0.5,1,0,1469
106,19,0.8749298409644735,0.5,0.75,1,1,1709
106,20,0.7499298409644735,0.99999,0.25,1,1,2809
106,21,0.49992984096447346,0.99999,0.75,0,0,11544
106,23,0.7499298409644735,0.5,0.9999,1,1,1947
106,25,0.24992984096447346,0.5,0.9999,0,0,1384
106,26,0.6249298409644735,0.99999,0.9999,1,1,3376
