RedChoice,Self,Others,Group,SubjectPair,RT,Trial,Other1,Other2,Other3,Other4,Other1rt,Other2rt,Other3rt,Other4rt,Other1confidence,Other2confidence,Other3confidence,Other4confidence,OptimalChoice,OthersConfidenceRed,OthersConfidenceGreen,Subject,RTscaled
0,0.25,3898.5,1,103,9867,51,0,1,0,1,2199,132,2024,380,1,0.5,1,0.5,0,0.5,1,103,-0.6743564356435643
0,0.375,3898.5,1,103,2102,3,0,0,0,0,233,782,606,71,0.5,0.5,0.5,0.5,1,1,0.5,103,-0.9306270627062706
0,0.125,3898.5,1,103,3372,57,1,1,1,0,568,698,332,2466,0.5,0.5,0.5,1,0,0.5,1,103,-0.8887128712871287
1,0.375,3898.5,1,103,2079,59,1,1,0,1,179,358,2226,782,0.5,0.5,1,0.5,1,0.5,1,103,0.9313861386138613
1,0.75,3898.5,1,103,4364,69,1,1,1,1,450,16,229,426,0.5,0.5,0.5,0.5,0,0.5,1,103,0.855973597359736
1,0.75,3898.5,1,103,1994,27,1,1,1,0,2278,2495,2457,694,1,1,1,0.5,1,1,0.5,103,0.9341914191419143
1,0.875,3898.5,1,103,6564,77,0,0,0,0,789,364,336,732,0.5,0.5,0.5,0.5,1,1,0.5,103,0.7833663366336634
0,0.125,3898.5,1,103,1920,71,0,0,0,0,432,81,52,510,0.5,0.5,0.5,0.5,1,1,0.5,103,-0.9366336633663366
1,0.375,3898.5,1,103,8035,101,1,1,1,1,69,690,20,663,0.5,0.5,0.5,0.5,1,0.5,1,103,0.7348184818481849
1,0.625,3898.5,1,103,6376,61,1,0,1,1,717,2442,184,337,0.5,1,0.5,0.5,1,0.5,1,103,0.7895709570957097
0,0.25,3898.5,1,103,2755,23,1,1,1,0,1755,2276,2109,194,1,1,1,0.5,0,1,0.5,103,-0.9090759075907591
0,0.125,3898.5,1,103,1077,85,0,1,1,0,93,755,61,384,0.5,0.5,0.5,0.5,0,0.5,0.5,103,-0.9644554455445544
0,0.375,3898.5,1,103,12454,17,0,1,1,0,12,2447,2272,646,0.5,1,1,0.5,0,1,0.5,103,-0.5889768976897689
1,0.75,3898.5,1,103,7575,13,0,0,0,1,89,297,520,2221,0.5,0.5,0.5,1,1,1,0.5,103,0.75
0,0.125,3898.5,1,103,3298,29,1,1,1,1,1718,2419,2049,1989,1,1,1,1,1,1,1,103,-0.8911551155115511
1,0.875,3898.5,1,103,13610,35,1,1,1,1,1798,1996,1713,2041,1,1,1,1,1,1,1,103,0.5508250825082508
